,sample,cox1,cox3,dioxygenase,dsr,katG,nap,narG,nir,nod,nos,nrd,pmoA,ribo_reductase,sod,Cyt_bd_oxid,O2,depth,Latitude,Longitude,Lyapunov,NO2,NO3,NO2NO3,PO4,size_fraction,Temperature,Carbon.total,CO3,HCO3,Density,Alkalinity.total,Nitracline,Brunt.Väisälä,Iron.5m,Residence.time,Okubo.Weiss,study,mcrA,nor,aerobic_score,anaerobic_score
25,TARA_B100000686,282.739944994,17.227932616,3.4291972100000003,3.74076697,334.301884557,3.820630437,0.124826744,16.229191537,0.0,0.221420124,0.0,24.034497,159.826020422,378.65399866,27.049726836,158.18405,150.0,-8.9109,-140.2845,0.053774,1.46875,5.004597,5.44175,0.6607,3.0,21.97372,0.000925,0.006175,0.002,24.895825,0.0025,236.0,234.0,2.28e-06,1.083333,-0.011503,1,,,794.095782589,24.012009068
26,TARA_B100000700,397.0873023675,19.780947746,24.35655384,4.457272995,294.6551946685,5.191709339,1.0429337,14.27520077,0.1897651719999999,0.53005563,0.0,18.8376667,224.7331786505,551.553167705,40.159076517,178.3692,115.0,-9.0063,-139.1394,0.028977,0.092792,3.213808,2.67775,0.582933,3.0,24.661385,0.0028,0.0107,0.0,24.2843,0.0093,131.0,109.0,2.32e-06,15.833333,0.007751,1,,,936.2566234325,24.454238734
27,TARA_B100000811,547.3407969835,206.2029974735,0.0,0.0,182.631738883,0.0510244839999999,0.0,0.0,0.0,0.0,0.0,0.0,91.800279567,946.235590383,0.081019536,398.312125,5.0,-64.3595,-53.0063,0.038566,0.0705,19.563781,17.32,1.553,3.0,-0.494375,0.08405,0.0,0.012,26.718162,0.00055,22.0,22.0,0.000387726,0.0,-0.003908,1,,,1027.975812907,0.0510244839999999
28,TARA_B100000902,558.2840804595,567.0915631019999,0.09702067,8.432352866,80.024462468,5.552228058,0.06623079,0.321148376,0.0602743929999999,1.300504507,0.0,0.0,430.3504969275,375.1134775645,97.116158361,104.9968,40.0,-5.2669,-85.2732,0.012324,1.202,18.72477,24.3645,1.8615,3.0,19.781235,0.018,0.038,0.0,24.729155,0.0334,48.0,44.0,4.4e-06,0.0,0.043188,1,,,1635.750602957,15.606233806999999
29,TARA_B100000918,315.3873006455,296.729645643,0.098212212,33.24900263,102.241767361,0.2810971445,0.117981767,0.05774514,0.071745455,0.06292843,0.031730942,0.0,199.548255117,224.439540083,2.817926517,165.2702,40.0,0.0307,-84.612,0.138825,0.317375,8.276054,9.313125,0.776625,3.0,23.45048,0.0141,0.015,0.0018,23.595275,0.0065,293.0,43.0,4.39e-06,4.166667,-0.04145,1,,,913.9069687665001,33.682504286500006
30,TARA_B100000920,158.50226491,9.742057199,1.285721313,7.140146919999999,142.102462209,3.137788373,0.257063826,11.81690698,0.596102798,1.705811402,0.046994712,0.0,122.4225521465,835.9289861685,40.53517354,5.03365,380.0,0.0063,-84.585,0.138825,0.01475,36.80312,37.197667,2.664875,3.0,10.222825,0.0,0.0,0.0,26.725515,0.0,568.0,39.0,4.39e-06,4.166667,-0.04145,1,,,432.7693364645,23.847648386999996
31,TARA_B100000929,563.012058429,48.563100855,8.2847706935,0.752610205,101.383131094,10.4947018145,1.856072993,5.803423705,1.205151383,5.39028838,0.0,0.0,976.992166659,1367.035110042,53.936357976,2.264562,380.0,2.0649,-84.5546,0.005026,,33.049074,,,3.0,11.142362,,,,26.595869,,64.0,69.0,4.99e-06,2.083333,-0.002594,1,,,1689.950457037,22.441024104500002
32,TARA_B100000943,127.7959726685,68.448688555,0.27542103,5.745562552,106.832188969,0.329151764,0.019281732,0.328449216,0.0,0.1596545,0.0,0.0,85.834751114,140.300905322,2.422618235,206.4346,155.0,-23.2189,-129.4997,0.040113,0.014,0.423501,0.04175,0.1145,3.0,21.94937,0.0011,0.0104,0.0,24.927695,0.0,306.0,140.0,0.000157501,11.083333,-0.120564,1,,,388.91160130649996,6.562818032
33,TARA_B100000953,327.0764007615,40.313679053,3.255530987,7.503447427,171.971183851,9.279723362,0.425150256,22.382295873,1.033799557,2.694206461,0.0,0.0,159.38370915000002,759.7393125369999,35.572499757,5.148,480.0,-5.261,-85.1678,0.012324,0.014,40.112735,39.1775,2.853,3.0,9.137438,0.0,0.0,0.0,26.863531,0.0,43.0,45.0,4.4e-06,0.0,0.043188,1,,,698.7449728155,41.859673123
34,TARA_B100000959,425.8025167205,14.328298244,0.437534946,3.059294786,162.83273917399998,457.535635762,11.615367154,50.977443409,13.232141412,8.238176977,0.0,0.0,418.420257019,1221.484731275,120.89303705,3.4942,177.0,-12.9794,-96.0232,0.045278,0.131,20.254424,23.251,2.68675,3.0,12.806365,0.0,0.0001,0.0,26.3033,0.0,148.0,56.0,3.28e-06,6.0,0.013354,1,,,1021.3838111575001,519.810550934
35,TARA_B100000965,423.8259678635,352.6809081335,0.2073717515,8.233638125999999,266.484800535,3.753604934,0.2226230049999999,0.098333634,0.3117666249999999,0.830930355,0.0,0.0,301.279305863,843.1012972035,25.033912342,216.67805,50.0,-12.9723,-96.0122,0.045278,0.1635,4.229206,5.6545,0.7785,3.0,22.596675,0.0096,0.0099,0.0,24.5284,0.0061,149.0,53.0,3.28e-06,6.0,0.013354,1,,,1344.270982395,12.916507048999998
36,TARA_B100000973,154.007751632,194.672501404,0.0,1.846166024,272.46782874,5.612193106,0.081326045,0.0,0.0,0.0,0.0,0.0,106.1125480695,234.526192651,11.754152325999998,214.770062,175.0,-28.1874,-107.6385,0.01664,0.03925,0.349581,0.12225,0.1725,3.0,18.478415,0.0009,0.0059,0.0,25.49114,0.0,326.0,69.0,0.000237817,90.75,-0.248939,1,,,727.2606298455,7.45835913
37,TARA_B100000987,105.841534407,82.6820331535,0.21321907,6.784759203,33.388888434500004,1.450521012,0.1104303,0.0,0.0,0.0,0.0,0.0,105.426008372,55.373363792,0.4849791579999999,220.19105,155.0,-29.668,-101.2285,0.056696,,0.0,,0.181,3.0,18.12644,,,,25.50222,,243.0,57.0,0.000148684,0.0,0.047596,1,,,327.33846436700003,8.235280215
38,TARA_B100001010,200.538538735,7.671737899,0.249643872,6.877049802,296.443171053,7.954880702,0.0485389,5.938603408,0.42604446,0.62835296,0.0,0.0,118.524373781,710.910587148,26.505778373,154.6701,488.0,-25.8076,-111.6906,0.028784,0.0,24.271551,27.2885,2.023,3.0,7.96837,0.0,0.0,0.0,26.78725,0.0,411.0,72.0,0.000233155,0.0,-0.006839,1,,,623.177821468,21.398886872
39,TARA_B100001033,138.7614219385,145.5121542265,0.199968535,9.308489604,155.9980540405,0.549699397,0.0,0.11635295,0.0,0.072741423,0.0,0.0,92.946243172,86.5368812945,1.325290681,208.821,188.0,-25.826,-111.7294,0.028784,,0.0,,,3.0,20.2127,,,,25.37245,,391.0,71.0,0.000233155,0.0,-0.006839,1,,,533.2178733775,10.047283374
40,TARA_B100001076,351.8321763455,10.01646015,13.16344311,6.160120249,152.51264255,29.677872628000003,11.273961479,10.647113039,7.4935892145,2.29790437,0.0,0.0,347.415375009,1023.926984783,83.216644985,2.43975,380.0,-1.8902,-84.6141,0.064745,,26.734022,,,3.0,10.082375,,,,26.748625,,75.0,68.0,5.49e-06,0.0,0.032297,1,,,861.7766540544999,48.78301028600001
41,TARA_B100001111,255.772554336,221.218141587,0.069613181,45.971076313,271.69811507500003,0.33825541,0.07001579,0.023686396,0.0,0.307929257,0.0,0.0,254.1796154945,210.958744867,1.817649035,145.0818,50.0,-1.9002,-84.6265,0.064745,0.414,10.202445,10.701,0.9295,3.0,22.039785,0.0291,0.0316,0.0,24.318245,0.005,69.0,64.0,5.49e-06,0.0,0.032297,1,,,1002.8684264925,46.640947376
42,TARA_B100001115,545.6922034309999,285.069933851,0.221128696,9.41244963,126.6221350275,0.520535441,0.093396898,0.263029352,0.113264929,0.188427294,0.0,0.0,438.426403515,175.71255928,2.183326691,187.07695,5.0,-8.9971,-139.1963,0.028977,0.11925,5.660372,5.456,0.56795,3.0,26.60467,0.0041,0.0045,0.0,23.122935,0.003,235.0,112.0,2.32e-06,15.833333,0.007751,1,,,1395.8106758244999,10.384441717
43,TARA_B100001123,232.605300091,14.570739753,7.05868325,8.438519631,463.633700754,59.488904691,0.0,1.372894514,0.1152696,0.128299362,0.0,4.09429617,454.457193712,1085.228249414,46.467967614,160.81445,140.0,-8.8999,-142.5461,0.014455,0.05475,3.583718,3.47525,0.566,3.0,23.681605,0.0004,0.0025,0.0,24.715135,0.0,211.0,111.0,2.36e-06,0.0,-0.004254,1,,,1165.26693431,69.42861819800001
44,TARA_B100001158,522.4821946315,501.795447491,0.0,7.825041934000001,92.735184672,1.292920912,0.0,0.0,0.08605398,0.04423314,0.0,0.0,125.680326598,109.901125764,1.142900206,213.352167,5.0,33.061,-66.5435,0.034771,0.218,0.676878,0.4035,0.001,3.0,20.150733,,,,25.923533,,230.0,230.0,0.001076234,0.0,0.003342,1,,,1242.6931533924999,9.162195986
45,TARA_B100001230,131.9551623055,52.6301791495,1.6265132210000002,34.298821837000006,1079.8864008475,4.086712981,0.0,0.046484987,0.11325594,0.1935178,0.0,0.0,129.8595995145,457.6463025345,13.927563862,184.1395,100.0,-6.628,-152.4607,0.03885,0.2045,4.30006,4.5355,0.56825,3.0,26.960655,0.0013,0.0047,0.0,23.123355,0.0037,110.0,156.0,3.05e-06,3.222222,-0.001602,1,,,1394.3313418169998,38.625537605000005
46,TARA_B100001242,127.7149781925,11.731757993,12.00071634,4.83083292,232.906299253,10.048574092,0.073707576,1.78748504,0.0,0.361807716,0.0,0.0,185.450630965,1423.568198041,39.602651336,131.979417,550.0,31.528,-159.0224,0.043804,,28.302949,,,3.0,6.634392,0.0,0.0,0.0,26.6805,0.0,137.0,56.0,0.00081438,0.0,0.134524,1,,,557.8036664035,17.028699768000003
